ozone,dzone,fare
1,1,1.45151
1,2,1.45151
1,3,1.45151
1,4,10.6884
1,5,12.6677
1,6,10.6884
1,7,10.6884
1,8,9.36882
1,9,10.0286
1,10,8.70904
1,11,8.04926
1,12,7.38949
1,13,8.70904
1,14,6.72971
1,15,10.6884
1,16,7.38949
1,17,8.70904
1,18,10.6884
1,19,10.0286
1,20,6.06994
1,21,4.75039
1,22,5.41016
1,23,6.06994
1,24,6.72971
1,25,6.06994
1,26,8.70904
1,27,8.04926
1,28,6.72971
1,29,7.38949
1,30,7.38949
1,31,5.41016
1,32,6.06994
1,33,5.41016
1,34,4.75039
1,35,4.09061
1,36,3.43083
1,37,4.09061
1,38,4.75039
1,39,4.75039
1,40,3.43083
1,41,3.43083
1,42,4.09061
1,43,2.77106
1,44,1.45151
1,45,2.11128
1,46,2.77106
1,47,2.77106
1,48,2.11128
1,49,2.77106
1,50,2.11128
1,51,1.45151
1,52,1.45151
1,53,1.45151
1,54,3.43083
1,55,4.75039
1,56,4.09061
1,57,10.0286
1,58,13.9872
1,59,13.3275
1,60,9.36882
1,61,12.0079
1,62,10.0286
1,63,6.06994
1,64,1.45151
1,65,2.77106
1,66,2.11128
1,67,2.77106
1,68,2.77106
1,69,1.45151
1,70,1.45151
1,71,3.43083
1,72,2.77106
1,73,2.11128
1,74,2.77106
1,75,2.11128
1,76,2.77106
1,77,3.43083
1,78,6.06994
1,79,2.11128
2,1,1.45151
2,2,1.45151
2,3,2.77106
2,4,13.9872
2,5,14.647
2,6,13.9872
2,7,13.3275
2,8,12.6677
2,9,13.3275
2,10,12.0079
2,11,11.3481
2,12,10.6884
2,13,10.6884
2,14,10.0286
2,15,9.36882
2,16,8.70904
2,17,9.36882
2,18,10.0286
2,19,9.36882
2,20,5.41016
2,21,4.09061
2,22,4.75039
2,23,5.41016
2,24,6.06994
2,25,6.06994
2,26,8.70904
2,27,8.04926
2,28,6.72971
2,29,7.38949
2,30,8.04926
2,31,6.06994
2,32,6.72971
2,33,6.06994
2,34,5.41016
2,35,4.75039
2,36,4.09061
2,37,3.43083
2,38,4.09061
2,39,4.09061
2,40,7.38949
2,41,2.77106
2,42,4.09061
2,43,2.77106
2,44,2.11128
2,45,2.11128
2,46,2.11128
2,47,3.43083
2,48,2.77106
2,49,2.77106
2,50,2.11128
2,51,2.11128
2,52,2.11128
2,53,2.11128
2,54,4.09061
2,55,5.41016
2,56,4.75039
2,57,8.70904
2,58,15.9666
2,59,15.3068
2,60,11.3481
2,61,11.3481
2,62,9.36882
2,63,6.72971
2,64,1.45151
2,65,3.43083
2,66,2.77106
2,67,3.43083
2,68,2.11128
2,69,1.45151
2,70,1.45151
2,71,3.43083
2,72,2.77106
2,73,2.11128
2,74,2.77106
2,75,2.77106
2,76,3.43083
2,77,4.09061
2,78,4.75039
2,79,2.11128
3,1,1.45151
3,2,2.77106
3,3,1.45151
3,4,12.0079
3,5,12.6677
3,6,12.0079
3,7,11.3481
3,8,10.6884
3,9,11.3481
3,10,10.0286
3,11,9.36882
3,12,8.70904
3,13,8.70904
3,14,8.04926
3,15,7.38949
3,16,6.72971
3,17,7.38949
3,18,10.0286
3,19,9.36882
3,20,5.41016
3,21,4.09061
3,22,4.75039
3,23,5.41016
3,24,6.06994
3,25,6.06994
3,26,8.70904
3,27,8.04926
3,28,6.72971
3,29,7.38949
3,30,6.06994
3,31,6.06994
3,32,6.72971
3,33,6.06994
3,34,5.41016
3,35,4.75039
3,36,4.09061
3,37,3.43083
3,38,4.09061
3,39,8.04926
3,40,6.72971
3,41,3.43083
3,42,3.43083
3,43,2.11128
3,44,2.11128
3,45,1.45151
3,46,2.11128
3,47,3.43083
3,48,2.77106
3,49,3.43083
3,50,2.77106
3,51,2.77106
3,52,2.77106
3,53,2.11128
3,54,4.75039
3,55,6.06994
3,56,5.41016
3,57,6.72971
3,58,13.9872
3,59,13.3275
3,60,9.36882
3,61,11.3481
3,62,9.36882
3,63,6.72971
3,64,1.45151
3,65,4.09061
3,66,4.75039
3,67,5.41016
3,68,3.43083
3,69,2.77106
3,70,1.45151
3,71,3.43083
3,72,2.77106
3,73,2.11128
3,74,2.77106
3,75,1.45151
3,76,1.45151
3,77,2.11128
3,78,2.77106
3,79,3.43083
4,1,10.6884
4,2,13.9872
4,3,12.0079
4,4,1.45151
4,5,1.45151
4,6,1.45151
4,7,1.45151
4,8,2.11128
4,9,2.11128
4,10,2.77106
4,11,2.77106
4,12,3.43083
4,13,4.75039
4,14,4.09061
4,15,6.06994
4,16,5.41016
4,17,4.09061
4,18,4.09061
4,19,4.75039
4,20,8.70904
4,21,10.0286
4,22,9.36882
4,23,6.06994
4,24,4.75039
4,25,6.06994
4,26,7.38949
4,27,6.72971
4,28,6.06994
4,29,6.72971
4,30,5.41016
4,31,8.04926
4,32,13.9872
4,33,13.3275
4,34,12.6677
4,35,12.0079
4,36,11.3481
4,37,10.6884
4,38,10.0286
4,39,6.72971
4,40,8.04926
4,41,7.38949
4,42,10.0286
4,43,8.04926
4,44,10.0286
4,45,10.6884
4,46,9.36882
4,47,11.3481
4,48,12.0079
4,49,11.3481
4,50,10.6884
4,51,11.3481
4,52,12.0079
4,53,11.3481
4,54,14.647
4,55,15.9666
4,56,15.3068
4,57,5.41016
4,58,2.77106
4,59,2.11128
4,60,5.41016
4,61,5.41016
4,62,4.75039
4,63,7.38949
4,64,9.36882
4,65,13.9872
4,66,13.3275
4,67,13.3275
4,68,14.647
4,69,13.9872
4,70,12.6677
4,71,10.0286
4,72,9.36882
4,73,8.70904
4,74,8.04926
4,75,11.3481
4,76,10.6884
4,77,7.38949
4,78,6.72971
4,79,14.647
5,1,12.6677
5,2,14.647
5,3,12.6677
5,4,1.45151
5,5,1.45151
5,6,1.45151
5,7,1.45151
5,8,2.11128
5,9,1.45151
5,10,2.77106
5,11,3.43083
5,12,4.09061
5,13,5.41016
5,14,4.75039
5,15,6.72971
5,16,6.06994
5,17,2.11128
5,18,3.43083
5,19,2.77106
5,20,6.72971
5,21,8.04926
5,22,7.38949
5,23,4.09061
5,24,4.09061
5,25,4.09061
5,26,6.72971
5,27,6.06994
5,28,5.41016
5,29,6.06994
5,30,6.06994
5,31,7.38949
5,32,12.0079
5,33,11.3481
5,34,10.6884
5,35,10.0286
5,36,9.36882
5,37,8.70904
5,38,8.04926
5,39,7.38949
5,40,8.70904
5,41,9.36882
5,42,10.6884
5,43,8.70904
5,44,11.3481
5,45,11.3481
5,46,9.36882
5,47,9.36882
5,48,10.0286
5,49,12.0079
5,50,11.3481
5,51,12.0079
5,52,13.9872
5,53,13.3275
5,54,15.3068
5,55,16.6264
5,56,15.9666
5,57,6.06994
5,58,1.45151
5,59,1.45151
5,60,6.06994
5,61,4.75039
5,62,4.09061
5,63,6.72971
5,64,11.3481
5,65,14.647
5,66,13.9872
5,67,14.647
5,68,15.3068
5,69,14.647
5,70,13.3275
5,71,10.6884
5,72,10.0286
5,73,9.36882
5,74,8.70904
5,75,12.0079
5,76,11.3481
5,77,8.04926
5,78,7.38949
5,79,15.3068
6,1,10.6884
6,2,13.9872
6,3,12.0079
6,4,1.45151
6,5,1.45151
6,6,1.45151
6,7,1.45151
6,8,1.45151
6,9,1.45151
6,10,2.11128
6,11,2.77106
6,12,3.43083
6,13,4.75039
6,14,4.09061
6,15,6.06994
6,16,5.41016
6,17,3.43083
6,18,3.43083
6,19,4.09061
6,20,8.04926
6,21,9.36882
6,22,8.70904
6,23,5.41016
6,24,4.09061
6,25,5.41016
6,26,6.72971
6,27,6.06994
6,28,5.41016
6,29,6.06994
6,30,5.41016
6,31,7.38949
6,32,13.3275
6,33,12.6677
6,34,12.0079
6,35,11.3481
6,36,10.6884
6,37,10.0286
6,38,9.36882
6,39,6.72971
6,40,8.04926
6,41,7.38949
6,42,10.0286
6,43,8.04926
6,44,10.0286
6,45,10.6884
6,46,9.36882
6,47,10.6884
6,48,11.3481
6,49,11.3481
6,50,10.6884
6,51,11.3481
6,52,12.0079
6,53,11.3481
6,54,14.647
6,55,15.9666
6,56,15.3068
6,57,5.41016
6,58,2.11128
6,59,1.45151
6,60,5.41016
6,61,4.75039
6,62,4.09061
6,63,6.72971
6,64,9.36882
6,65,13.9872
6,66,13.3275
6,67,13.3275
6,68,14.647
6,69,13.9872
6,70,12.6677
6,71,10.0286
6,72,9.36882
